Codigo;Tipo;Interno;Externo;Altura
OE080005200211D-BR;BUFFER;80.0;64.5;6.3
OE082605200211D-BR;BUFFER;82.6;67.1;6.3
OE085705200211D-BR;BUFFER;85.72;70.22;6.3
OE088205200211D-BR;BUFFER;88.2;72.7;6.3
OE088905200211D-BR;BUFFER;88.9;73.4;6.3
OE090005200211D-BR;BUFFER;90.0;74.5;6.3
OE093600100211D-BR;BUFFER;93.65;78.75;6.3
OE095005200211D-BR;BUFFER;95.0;79.5;6.3
OE095205200211D-BR;BUFFER;95.25;79.75;6.3
OE100005200211D-BR;BUFFER;100.0;84.5;6.3
OE101605200211D-BR;BUFFER;101.6;86.1;6.3
OE105005200211D-BR;BUFFER;105.0;89.5;6.3
OE107205200211D-BR;BUFFER;107.2;91.7;6.3
OE107905200211D-BR;BUFFER;107.9;92.4;6.3
OE110005200211D-BR;BUFFER;110.0;94.5;6.3
OE110005200212E-BR;BUFFER;110.0;89.0;8.1
OE111005200211D-BR;BUFFER;111.0;95.5;6.3
OE114305200211D-BR;BUFFER;114.3;98.8;6.3
OE115005200211D-BR;BUFFER;115.0;99.5;6.3
OE120005200211D-BR;BUFFER;120.0;104.5;6.3
OE125005200211D-BR;BUFFER;125.0;109.5;6.3
OE127005200211D-BR;BUFFER;127.0;111.5;6.3
OE130005200211D-BR;BUFFER;130.0;114.5;6.3
OE140005200211D-BR;BUFFER;140.0;124.5;6.3
OE140005200211E-BR;BUFFER;140.0;119.0;8.1
OE140005200212E-BR;BUFFER;140.0;121.8;8.1
OE145005200211E-BR;BUFFER;145.0;124.0;8.1
OE150005200211D-BR;BUFFER;150.0;134.5;6.3
OE150005200211E-BR;BUFFER;150.0;129.0;8.1
OE152405200211E-BR;BUFFER;152.4;131.4;8.1
OE152405200211E-FPM;BUFFER;152.4;131.4;8.1
OE160005200211E-BR;BUFFER;160.0;139.0;8.1
OE160005200212E-BR;BUFFER;160.0;141.2;8.1
OE165005200211E-BR;BUFFER;165.0;144.0;8.1
OE171455200211E-BR;BUFFER;171.45;150.45;8.1
OE175005200211E-BR;BUFFER;175.0;154.0;8.1
OE177805200211E-BR;BUFFER;177.8;156.8;8.1
OE180005200211E-BR;BUFFER;180.0;159.0;8.1
OE190005200211E-BR;BUFFER;190.0;169.0;8.1
OE195605200211E-BR;BUFFER;195.6;174.6;8.1
OE200005200211E-BR;BUFFER;200.0;179.0;8.1
OE203205200211E-BR;BUFFER;203.2;182.2;8.1
OE203205200211E-FPM;BUFFER;203.2;182.2;8.1
OE220005200211E-BR;BUFFER;220.0;199.0;8.1
OE225005200211E-BR;BUFFER;225.0;204.0;8.1
OE230005200211E-BR;BUFFER;230.0;209.0;8.1
OE250005200211E-BR;BUFFER;250.0;229.0;8.1
OE280005200211E-BR;BUFFER;280.0;259.0;8.1
